Date,RSI
2000-10-05,31.042654028436033
2000-10-06,32.46592317224288
2000-10-09,22.983870967741936
2000-10-10,19.065656565656568
2000-10-11,18.0622009569378
2000-10-12,14.64174454828661
2000-10-13,38.0358923230309
2000-10-16,34.27073403241182
2000-10-17,31.668194317140234
2000-10-18,28.066825775656312
2000-10-19,41.57894736842105
2000-10-20,39.1089108910891
2000-10-23,47.78225806451613
2000-10-24,55.283018867924525
2000-10-25,50.6108202443281
2000-10-26,50.6993006993007
2000-10-27,52.313167259786475
2000-10-30,48.196721311475414
2000-10-31,54.87012987012987
2000-11-01,49.69512195121951
2000-11-02,33.33333333333333
2000-11-03,38.11188811188811
2000-11-06,35.16129032258064
2000-11-07,33.03030303030303
2000-11-08,20.447284345047933
2000-11-09,30.630630630630634
2000-11-10,29.82456140350878
